700024457 	 763435843 	 2 	 male 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700024457_from_subject_763435843__sex_male_
700024505 	 764002286 	 2 	 male 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700024505_from_subject_764002286__sex_male_
700024553 	 764305738 	 1 	 male 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700024553_from_subject_764305738__sex_male_
700024601 	 764325968 	 1 	 male 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700024601_from_subject_764325968__sex_male_
700024643 	 764447348 	 1 	 male 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700024643_from_subject_764447348__sex_male_
700024748 	 764588959 	 1 	 female 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700024748_from_subject_764588959__sex_female_
700024795 	 764366428 	 1 	 female 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700024795_from_subject_764366428__sex_female_
700024862 	 764649650 	 1 	 female 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700024862_from_subject_764649650__sex_female_
700024914 	 764669880 	 1 	 male 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700024914_from_subject_764669880__sex_male_
700024963 	 765074482 	 1 	 male 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700024963_from_subject_765074482__sex_male_
700033012 	 159247771 	 1 	 female 	 "JCVI,WUGC" 	 Throat 	 HMP_Human_metagenome_sample_700033012_from_subject_159247771__sex_female_
700033141 	 159733294 	 1 	 female 	 "BCM,WUGC" 	 Throat 	 HMP_Human_metagenome_sample_700033141_from_subject_159733294__sex_female_
700033469 	 159470302 	 1 	 female 	 "BCM,WUGC" 	 Throat 	 HMP_Human_metagenome_sample_700033469_from_subject_159470302__sex_female_
700033737 	 159713063 	 1 	 female 	 "BCM,WUGC" 	 Throat 	 HMP_Human_metagenome_sample_700033737_from_subject_159713063__sex_female_
700037039 	 765094712 	 1 	 male 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700037039_from_subject_765094712__sex_male_
700037082 	 765155402 	 1 	 male 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700037082_from_subject_765155402__sex_male_
700037131 	 765013792 	 1 	 female 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700037131_from_subject_765013792__sex_female_
700037187 	 765195863 	 1 	 female 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700037187_from_subject_765195863__sex_female_
700037292 	 765256553 	 1 	 female 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700037292_from_subject_765256553__sex_female_
700037349 	 765216093 	 1 	 male 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700037349_from_subject_765216093__sex_male_
700037397 	 765276783 	 1 	 male 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700037397_from_subject_765276783__sex_male_
700037443 	 764305738 	 2 	 male 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700037443_from_subject_764305738__sex_male_
700037547 	 764083206 	 2 	 male 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700037547_from_subject_764083206__sex_male_
700037695 	 765034022 	 1 	 female 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700037695_from_subject_765034022__sex_female_
700037803 	 765337473 	 1 	 female 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700037803_from_subject_765337473__sex_female_
700037964 	 765317243 	 1 	 female 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700037964_from_subject_765317243__sex_female_
700038018 	 763597684 	 2 	 male 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700038018_from_subject_763597684__sex_male_
700038221 	 764669880 	 2 	 male 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700038221_from_subject_764669880__sex_male_
700038351 	 764892411 	 2 	 male 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700038351_from_subject_764892411__sex_male_
