700024199 	 764285508 	 1 	 male 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700024199_from_subject_764285508__sex_male_
700024251 	 764346198 	 1 	 female 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700024251_from_subject_764346198__sex_female_
700024305 	 764487809 	 1 	 male 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700024305_from_subject_764487809__sex_male_
700024347 	 764467579 	 1 	 female 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700024347_from_subject_764467579__sex_female_
700024410 	 764224817 	 1 	 male 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700024410_from_subject_764224817__sex_male_
700024458 	 763435843 	 2 	 male 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700024458_from_subject_763435843__sex_male_
700024506 	 764002286 	 2 	 male 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700024506_from_subject_764002286__sex_male_
700024554 	 764305738 	 1 	 male 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700024554_from_subject_764305738__sex_male_
700024602 	 764325968 	 1 	 male 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700024602_from_subject_764325968__sex_male_
700024644 	 764447348 	 1 	 male 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700024644_from_subject_764447348__sex_male_
700024698 	 764508039 	 1 	 male 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700024698_from_subject_764508039__sex_male_
700024749 	 764588959 	 1 	 female 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700024749_from_subject_764588959__sex_female_
700024796 	 764366428 	 1 	 female 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700024796_from_subject_764366428__sex_female_
700024863 	 764649650 	 1 	 female 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700024863_from_subject_764649650__sex_female_
700024915 	 764669880 	 1 	 male 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700024915_from_subject_764669880__sex_male_
700024964 	 765074482 	 1 	 male 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700024964_from_subject_765074482__sex_male_
700033015 	 159247771 	 1 	 female 	 "JCVI,WUGC" 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700033015_from_subject_159247771__sex_female_
700033142 	 159733294 	 1 	 female 	 "WUGC,BCM" 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700033142_from_subject_159733294__sex_female_
700033472 	 159470302 	 1 	 female 	 "WUGC,BCM" 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700033472_from_subject_159470302__sex_female_
700033738 	 159713063 	 1 	 female 	 "BCM,WUGC" 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700033738_from_subject_159713063__sex_female_
700037040 	 765094712 	 1 	 male 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700037040_from_subject_765094712__sex_male_
700037083 	 765155402 	 1 	 male 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700037083_from_subject_765155402__sex_male_
700037132 	 765013792 	 1 	 female 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700037132_from_subject_765013792__sex_female_
700037188 	 765195863 	 1 	 female 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700037188_from_subject_765195863__sex_female_
700037293 	 765256553 	 1 	 female 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700037293_from_subject_765256553__sex_female_
700037350 	 765216093 	 1 	 male 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700037350_from_subject_765216093__sex_male_
700037398 	 765276783 	 1 	 male 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700037398_from_subject_765276783__sex_male_
700037444 	 764305738 	 2 	 male 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700037444_from_subject_764305738__sex_male_
700037548 	 764083206 	 2 	 male 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700037548_from_subject_764083206__sex_male_
700037696 	 765034022 	 1 	 female 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700037696_from_subject_765034022__sex_female_
700037804 	 765337473 	 1 	 female 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700037804_from_subject_765337473__sex_female_
700037965 	 765317243 	 1 	 female 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700037965_from_subject_765317243__sex_female_
700038019 	 763597684 	 2 	 male 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700038019_from_subject_763597684__sex_male_
700038222 	 764669880 	 2 	 male 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700038222_from_subject_764669880__sex_male_
700038352 	 764892411 	 2 	 male 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700038352_from_subject_764892411__sex_male_
700038443 	 763536994 	 2 	 male 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700038443_from_subject_763536994__sex_male_
700038491 	 763476303 	 2 	 male 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700038491_from_subject_763476303__sex_male_
700038539 	 763880905 	 2 	 male 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700038539_from_subject_763880905__sex_male_
700038587 	 404239096 	 1 	 male 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700038587_from_subject_404239096__sex_male_
700038692 	 763698834 	 2 	 female 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700038692_from_subject_763698834__sex_female_
700038750 	 508703490 	 1 	 female 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700038750_from_subject_508703490__sex_female_
700038965 	 370027359 	 1 	 male 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700038965_from_subject_370027359__sex_male_
700095365 	 158398106 	 2 	 male 	 BCM 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700095365_from_subject_158398106__sex_male_
700095786 	 160825720 	 1 	 male 	 JCVI 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700095786_from_subject_160825720__sex_male_
700095968 	 160906640 	 1 	 male 	 JCVI 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700095968_from_subject_160906640__sex_male_
700096059 	 160947100 	 1 	 male 	 JCVI 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700096059_from_subject_160947100__sex_male_
700096279 	 160886410 	 1 	 male 	 JCVI 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700096279_from_subject_160886410__sex_male_
700096580 	 160866180 	 1 	 female 	 JCVI 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700096580_from_subject_160866180__sex_female_
