700033146 	 159733294 	 1 	 female 	 "BCM,WUGC" 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700033146_from_subject_159733294__sex_female_
700033484 	 159470302 	 1 	 female 	 "WUGC,BCM" 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700033484_from_subject_159470302__sex_female_
700033742 	 159713063 	 1 	 female 	 "BCM,WUGC" 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700033742_from_subject_159713063__sex_female_
700037006 	 764710340 	 1 	 female 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700037006_from_subject_764710340__sex_female_
700037029 	 765094712 	 1 	 male 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700037029_from_subject_765094712__sex_male_
700037087 	 765155402 	 1 	 male 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700037087_from_subject_765155402__sex_male_
700037193 	 765195863 	 1 	 female 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700037193_from_subject_765195863__sex_female_
700037249 	 765135172 	 1 	 male 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700037249_from_subject_765135172__sex_male_
700037354 	 765216093 	 1 	 male 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700037354_from_subject_765216093__sex_male_
700037402 	 765276783 	 1 	 male 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700037402_from_subject_765276783__sex_male_
700037448 	 764305738 	 2 	 male 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700037448_from_subject_764305738__sex_male_
700037536 	 764083206 	 2 	 male 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700037536_from_subject_764083206__sex_male_
700037684 	 765034022 	 1 	 female 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700037684_from_subject_765034022__sex_female_
700037751 	 765377934 	 1 	 female 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700037751_from_subject_765377934__sex_female_
700037808 	 765337473 	 1 	 female 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700037808_from_subject_765337473__sex_female_
700037855 	 765560005 	 1 	 male 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700037855_from_subject_765560005__sex_male_
700037903 	 765519544 	 1 	 male 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700037903_from_subject_765519544__sex_male_
700038008 	 763597684 	 2 	 male 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700038008_from_subject_763597684__sex_male_
700038123 	 763678604 	 2 	 male 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700038123_from_subject_763678604__sex_male_
700038226 	 764669880 	 2 	 male 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700038226_from_subject_764669880__sex_male_
700038341 	 764892411 	 2 	 male 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700038341_from_subject_764892411__sex_male_
700038389 	 765701615 	 1 	 male 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700038389_from_subject_765701615__sex_male_
700038448 	 763536994 	 2 	 male 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700038448_from_subject_763536994__sex_male_
700038496 	 763476303 	 2 	 male 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700038496_from_subject_763476303__sex_male_
700038543 	 763880905 	 2 	 male 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700038543_from_subject_763880905__sex_male_
700038591 	 404239096 	 1 	 male 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700038591_from_subject_404239096__sex_male_
700038696 	 763698834 	 2 	 female 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700038696_from_subject_763698834__sex_female_
700038867 	 861967750 	 1 	 male 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700038867_from_subject_861967750__sex_male_
700038915 	 355657046 	 1 	 male 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700038915_from_subject_355657046__sex_male_
700038953 	 370027359 	 1 	 male 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700038953_from_subject_370027359__sex_male_
700095369 	 158398106 	 2 	 male 	 BCM 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700095369_from_subject_158398106__sex_male_
700095426 	 158418336 	 2 	 male 	 BCM 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700095426_from_subject_158418336__sex_male_
700095790 	 160825720 	 1 	 male 	 JCVI 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700095790_from_subject_160825720__sex_male_
700095972 	 160906640 	 1 	 male 	 JCVI 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700095972_from_subject_160906640__sex_male_
700096282 	 160886410 	 1 	 male 	 JCVI 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700096282_from_subject_160886410__sex_male_
700097250 	 158216035 	 2 	 male 	 BCM 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700097250_from_subject_158216035__sex_male_
700097307 	 158013734 	 2 	 female 	 BCM 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700097307_from_subject_158013734__sex_female_
700097647 	 158155345 	 2 	 male 	 BCM 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700097647_from_subject_158155345__sex_male_
700098283 	 158742018 	 2 	 female 	 BCM 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700098283_from_subject_158742018__sex_female_
700098948 	 158236265 	 2 	 female 	 BCM 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700098948_from_subject_158236265__sex_female_
700099018 	 158114885 	 2 	 female 	 BCM 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700099018_from_subject_158114885__sex_female_
700099075 	 158276726 	 2 	 female 	 BCM 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700099075_from_subject_158276726__sex_female_
700099397 	 964271349 	 1 	 male 	 JCVI 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700099397_from_subject_964271349__sex_male_
700099606 	 158438567 	 2 	 male 	 BCM 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700099606_from_subject_158438567__sex_male_
700099762 	 158964549 	 2 	 male 	 BCM 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700099762_from_subject_158964549__sex_male_
700101654 	 159389382 	 2 	 male 	 BCM 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700101654_from_subject_159389382__sex_male_
